*** Shortcodes with overrides ***
---------------------------------
tab,1050
note,628
refer,492
tabs,410
anchor,224
exurl,222
jira,104
tip,86
text-green,60
warning,53
text-red,39
text-blue,7

*** Shortcodes without overrides ***
------------------------------------
align,354
api-javadoc,239
version,216
currentversion,200
column,166
accord,79
section,74
accordion,61
popup,53
api-dotnetdoc,51
imagertext,34
youtube,14
infosign,9
exclamation,9
